t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
3.04,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.06,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.08,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.1,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.12,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.14,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.16,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.18,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.2,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.22,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.24,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.26,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.28,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.3,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.32,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.34,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.36,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.38,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.4,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.42,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.44,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.46,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.48,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.5,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.52,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.54,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.56,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.58,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.6,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.62,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.64,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.66,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.68,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.7,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.72,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.74,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.76,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.78,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.8,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.82,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.84,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.86,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.88,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.9,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.92,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.94,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.96,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.98,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
